Number,Frequency,impedance,R,impedance2,I,Significance,Time
188,5.0119e+03,7.1602e+05,-6.8395e+05,0.991,876.6
189,5.6234e+03,6.3479e+05,-6.8057e+05,0.990,877.2
190,6.3096e+03,5.5171e+05,-6.5638e+05,0.990,877.7
191,7.0795e+03,4.9399e+05,-6.4658e+05,0.992,878.3
192,7.9433e+03,4.2150e+05,-6.1385e+05,0.992,878.9
193,8.9125e+03,3.6031e+05,-5.8345e+05,0.996,879.5
194,1.0000e+04,3.1274e+05,-5.4456e+05,0.992,880.2
195,1.1220e+04,2.7404e+05,-5.1188e+05,0.995,880.8
196,1.2589e+04,2.2950e+05,-4.7614e+05,0.995,881.3
197,1.4125e+04,1.9639e+05,-4.4093e+05,0.995,881.9
198,1.5849e+04,1.6862e+05,-4.0480e+05,0.998,882.5
199,1.7783e+04,1.4102e+05,-3.6969e+05,0.999,883.2
200,1.9953e+04,1.2342e+05,-3.4050e+05,0.998,883.8
201,2.2387e+04,1.0586e+05,-3.0951e+05,0.999,884.4
202,2.5119e+04,9.0364e+04,-2.8401e+05,0.999,885.0
203,2.8184e+04,7.6737e+04,-2.5937e+05,0.998,885.5
204,3.1623e+04,6.7636e+04,-2.3566e+05,0.998,886.1
205,3.5481e+04,5.6195e+04,-2.1609e+05,0.999,886.8
206,3.9811e+04,4.7285e+04,-1.9664e+05,0.999,887.5
207,4.4668e+04,3.5988e+04,-1.7813e+05,0.999,888.1
208,5.0119e+04,3.2714e+04,-1.6244e+05,0.999,888.7
209,5.6234e+04,2.7717e+04,-1.4802e+05,0.998,889.3
210,6.3096e+04,2.0802e+04,-1.3373e+05,0.999,889.9
211,7.0795e+04,1.7356e+04,-1.2057e+05,0.999,890.6
212,7.9433e+04,1.3934e+04,-1.0991e+05,0.999,891.2
213,8.9125e+04,7.8294e+03,-1.0072e+05,1.000,891.9
214,1.0000e+05,7.1046e+03,-8.7140e+04,0.999,892.5
215,1.1220e+05,5.0284e+03,-7.9915e+04,0.999,893.0
216,1.2589e+05,-4.4735e+03,-4.8811e+04,0.978,894.2
217,1.4125e+05,1.2236e+04,-4.0152e+04,0.970,895.4
218,1.5849e+05,-7.4887e+03,-4.5260e+04,0.962,896.0
219,1.7783e+05,-4.0258e+03,-3.5487e+04,0.956,896.6
220,1.9953e+05,4.7823e+03,-2.8871e+04,0.980,897.2
221,2.2387e+05,-8.4100e+03,-3.1827e+04,0.986,897.7
222,2.5119e+05,3.2464e+03,-2.8158e+04,0.978,898.3
223,2.8184e+05,-2.0300e+03,-2.6397e+04,0.982,899.0
224,3.1623e+05,-1.4705e+03,-2.4271e+04,0.978,899.6
225,3.5481e+05,-1.6594e+03,-1.9439e+04,0.982,900.2
226,3.9811e+05,-3.6476e+03,-1.7593e+04,0.994,900.8
227,4.4668e+05,-2.1670e+03,-1.4508e+04,0.996,901.3
228,5.0119e+05,4.2283e+02,-1.7280e+04,0.881,902.7
229,5.6234e+05,3.1120e+03,-1.1279e+04,0.937,904.5
230,6.3096e+05,-5.8873e+03,-9.6354e+03,0.924,905.4
231,7.0795e+05,-2.9614e+03,-9.7292e+03,0.958,906.0
232,7.9433e+05,-2.1053e+03,-7.2203e+03,0.964,906.6
233,8.9125e+05,-2.8737e+03,-5.0405e+03,0.980,907.3
234,1.0000e+06,-2.9275e+03,-5.4301e+03,0.948,908.4
